"ï.¿location"	"subject"	"measure"	"time"	"value"	"Country"
"AUS"	"DEATH"	"1000000VEH"	2007	108.49	"Australia"
"AUS"	"INJURE"	"NBR"	2013	23059	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2004	78.65	"Australia"
"AUS"	"DEATH"	"NBR"	2007	1603	"Australia"
"AUS"	"INJURE"	"NBR"	2006	32288	"Australia"
"AUS"	"DEATH"	"NBR"	2012	1300	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2005	79.78	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2003	123.15	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2001	139.22	"Australia"
"AUS"	"DEATH"	"NBR"	2010	1353	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2008	93.94	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2013	51.35	"Australia"
"AUS"	"DEATH"	"NBR"	2001	1737	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2007	76.97	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2010	84.24	"Australia"
"AUS"	"DEATH"	"NBR"	2003	1621	"Australia"
"AUS"	"DEATH"	"NBR"	2005	1627	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2014	49.01	"Australia"
"AUS"	"DEATH"	"NBR"	2008	1437	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2002	133.75	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2015	66.92	"Australia"
"AUS"	"INJURE"	"NBR"	2005	30597	"Australia"
"AUS"	"DEATH"	"NBR"	2006	1598	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2006	111.29	"Australia"
"AUS"	"INJURE"	"NBR"	2004	28886	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2004	116.97	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2006	77.21	"Australia"
"AUS"	"DEATH"	"NBR"	2002	1715	"Australia"
"AUS"	"DEATH"	"1000000HAB"	2015	50.67	"Australia"
"AUS"	"DEATH"	"NBR"	2015	1205	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2012	77.65	"Australia"
"AUS"	"INJURE"	"NBR"	2012	34091	"Australia"
"AUS"	"INJURE"	"NBR"	2002	27958	"Australia"
"AUS"	"INJURE"	"NBR"	2001	27482	"Australia"
"AUS"	"DEATH"	"NBR"	2000	1817	"Australia"
"AUS"	"DEATH"	"NBR"	2009	1491	"Australia"
"AUS"	"DEATH"	"NBR"	2013	1187	"Australia"
"AUS"	"INJURE"	"NBR"	2011	34082	"Australia"
"AUS"	"INJURE"	"NBR"	2000	26963	"Australia"
"AUS"	"DEATH"	"NBR"	2004	1583	"Australia"
"AUS"	"INJURE"	"NBR"	2003	28446	"Australia"
"AUS"	"DEATH"	"NBR"	2016	1295	"Australia"
"AUS"	"DEATH"	"NBR"	2014	1150	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2011	78.02	"Australia"
"AUS"	"DEATH"	"1000000VEH"	2013	69.09	"Australia"
"AUT"	"DEATH"	"NBR"	2008	679	"Austria"
"AUT"	"DEATH"	"NBR"	2007	691	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2002	168.19	"Austria"
"AUT"	"DEATH"	"NBR"	2010	552	"Austria"
"AUT"	"DEATH"	"NBR"	2011	523	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2002	43175	"Austria"
"AUT"	"DEATH"	"NBR"	2006	730	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2001	171.65	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2004	42657	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2014	50.34	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2016	38466	"Austria"
"AUT"	"DEATH"	"NBR"	2005	768	"Austria"
"AUT"	"DEATH"	"NBR"	2009	633	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2000	178.4	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2005	40896	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2001	43073	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2012	62.99	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2006	39884	"Austria"
"AUT"	"INJURE"	"NBR"	2008	50521	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2003	43426	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2003	171.8	"Austria"
"AUT"	"INJURE"	"NBR"	2009	49158	"Austria"
"AUT"	"INJURE"	"NBR"	2016	48393	"Austria"
"AUT"	"DEATH"	"NBR"	2004	878	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2011	62.32	"Austria"
"AUT"	"INJURE"	"NBR"	2015	47366	"Austria"
"AUT"	"INJURE"	"NBR"	2010	45858	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2007	120.74	"Austria"
"AUT"	"INJURE"	"NBR"	2011	45025	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2014	37957	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2011	85.85	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2010	92.29	"Austria"
"AUT"	"INJURE"	"NBR"	2014	47670	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2005	93.34	"Austria"
"AUT"	"DEATH"	"NBR"	2003	931	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2010	66	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2000	42126	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2008	117.13	"Austria"
"AUT"	"INJURE"	"NBR"	2012	50895	"Austria"
"AUT"	"INJURE"	"NBR"	2013	48044	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2006	88.29	"Austria"
"AUT"	"DEATH"	"NBR"	2015	479	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2008	81.6	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2009	75.87	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2009	107.78	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2013	38502	"Austria"
"AUT"	"DEATH"	"NBR"	2002	956	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2015	74.08	"Austria"
"AUT"	"INJURE"	"NBR"	2007	53211	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2015	37960	"Austria"
"AUT"	"INJURE"	"NBR"	2002	56684	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2012	85.71	"Austria"
"AUT"	"DEATH"	"NBR"	2016	432	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2006	129.27	"Austria"
"AUT"	"INJURE"	"NBR"	2004	55857	"Austria"
"AUT"	"DEATH"	"NBR"	2013	455	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2013	53.66	"Austria"
"AUT"	"DEATH"	"NBR"	2012	531	"Austria"
"AUT"	"DEATH"	"NBR"	2014	430	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2004	107.44	"Austria"
"AUT"	"INJURE"	"NBR"	2005	53234	"Austria"
"AUT"	"INJURE"	"NBR"	2006	51930	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2007	83.3	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2010	35348	"Austria"
"AUT"	"DEATH"	"NBR"	2001	958	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2002	118.29	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2007	41096	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2012	40831	"Austria"
"AUT"	"INJURE"	"NBR"	2001	56265	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2008	39173	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2005	137.73	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2001	119.12	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2000	121.82	"Austria"
"AUT"	"DEATH"	"NBR"	2000	976	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2009	37925	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2004	159.46	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2003	114.64	"Austria"
"AUT"	"DEATH"	"1000000HAB"	2015	55.63	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2013	72.22	"Austria"
"AUT"	"INJURE"	"NBR"	2003	56881	"Austria"
"AUT"	"ACCIDENTCASUAL"	"NBR"	2011	35129	"Austria"
"AUT"	"INJURE"	"NBR"	2000	54929	"Austria"
"AUT"	"DEATH"	"1000000VEH"	2014	67.35	"Austria"
